group	log2_clip	log2_rden	aag_like_per_kb
functional_target	5.336283387864432	1.382783300274217	14.948859166011015
functional_target	5.308885057411763	0.2502902207987055	9.91501416430595
functional_target	4.731319031025064	0.4240585443911443	15.060240963855422
functional_target	4.472487771462744	0.534429766702163	8.066487411390858
functional_target	4.3972162221916	0.3410369178350669	7.84313725490196
functional_target	4.371098536456032	0.246416068201196	7.838014369693012
functional_target	4.339018289115799	0.5133217107333651	7.716561566544971
functional_target	4.286304185156641	0.2276867210059609	8.617657404150545
functional_target	4.268488835925902	1.450376460353516	9.158198469451763
functional_target	4.205904298547879	1.4033556942312084	9.110233829334954
functional_target	4.1614634226941165	1.4506424500035673	9.773976786805132
functional_target	4.11150831521699	0.5051900819916716	12.82316442605998
functional_target	4.109654210196034	0.3378986569971729	10.297482837528603
functional_target	4.07848843633486	0.1516130795619404	17.906884202148827
functional_target	4.051086630149981	0.2215439806222379	11.273209549071618
functional_target	4.017708586240126	0.4099975902476514	10.66840844763771
functional_target	4.0	0.4545658634654811	6.98856416772554
functional_target	3.997292407636508	0.1427142351891459	8.732593816379515
functional_target	3.994686200103532	0.6733608575687018	6.986190089358246
functional_target	3.985500430304885	0.5449543449010577	8.253094910591471
functional_target	3.971096051876544	0.765726258998215	12.164579606440071
functional_target	3.9572955490457615	0.459431618637297	8.15042998331408
functional_target	3.935525686014167	0.18528738630902	9.099616858237548
functional_target	3.908026128953949	0.3115755016374635	8.759385055416518
functional_target	3.906890595608519	0.0940683243609084	10.331314570716067
functional_target	3.902389203373578	0.0210864081493215	10.065211227672243
functional_target	3.876516946565	0.4236943614092959	8.321557544355473
functional_target	3.874469117916141	0.1084549912394364	8.684324793747287
functional_target	3.8730428251248457	0.1856923173006286	8.45532559313478
functional_target	3.8602752363333854	0.1781108409949119	9.555246699096594
functional_target	3.858265242008777	0.0849054252296935	7.123287671232877
functional_target	3.852584176050602	0.1760756240400956	25.84070796460177
functional_target	3.8341113803	0.5619325642908815	12.144870960746042
functional_target	3.828763815116632	0.1022644336624983	9.560229445506693
functional_target	3.8271634031377846	0.4025465550956469	8.331229487503155
functional_target	3.813781191217037	0.2618071024497913	11.558219178082192
functional_target	3.7888140077121135	0.0051617051157787	7.976071784646061
functional_target	3.786239182801424	0.1574308829599796	16.745655608214847
functional_target	3.781908371086279	0.0433634417662727	10.115378536431168
functional_target	3.766177515382693	0.2441630440076672	10.42128603104213
functional_target	3.758991900496205	0.5892553265394199	10.018785222291797
functional_target	3.7495342676692616	0.0749620576812219	10.569456427955137
functional_target	3.7287450873612378	0.8080292361810693	8.028545941123996
functional_target	3.727920454563199	0.0835522367306346	12.07729468599034
functional_target	3.723219586797385	0.1149643633766902	12.338248570568764
functional_target	3.684498174272071	0.6666962349403197	13.117017604418365
functional_target	3.678071905112638	0.1244316858090556	6.885758998435055
functional_target	3.6767549766406464	0.3637600325569008	7.538712306438468
functional_target	3.675941167614312	0.2679156089507419	7.792485055508113
functional_target	3.669437068884693	0.3959585273072381	7.842482896712832
functional_target	3.663755747212429	0.0598429790166171	8.700834326579262
functional_target	3.662430186009765	0.1977679525960604	11.103065411537534
functional_target	3.658653191702805	0.0137686323652132	7.501172058134084
functional_target	3.656156393790941	0.1253134192493033	16.993065609997714
functional_target	3.648193262092465	0.0491679779011268	5.445140212360468
functional_target	3.642534031404298	0.0605595682247723	9.048821548821548
functional_target	3.6244908649077936	0.7916008507430519	7.132667617689016
functional_target	3.6104975928282936	0.5637754890610202	8.66377874041986
functional_target	3.606657571820475	0.359090993976564	8.982035928143713
functional_target	3.603341030036011	1.036227001096386	11.562407352505188
functional_target	3.587822154860397	0.3716514003455342	11.222853811397757
functional_target	3.586238206030992	0.1747511663922602	8.742331288343559
functional_target	3.578530501476624	0.4227276147126645	9.677865339416565
functional_target	3.5732806956735206	0.2083285137436588	6.7535731113554265
functional_target	3.5664769298759778	0.0737129914815191	10.683760683760685
functional_target	3.5654617814530285	0.422431445668352	12.269938650306749
functional_target	3.557717664530274	0.2807921473492122	9.082892416225748
functional_target	3.547777580387507	0.3975312826586696	7.797537619699042
functional_target	3.5290060947471407	0.7480850903762005	9.21409214092141
functional_target	3.518467088934249	0.233556357615498	6.247703050349137
functional_target	3.5116953687293173	0.0964715413387799	10.04823151125402
functional_target	3.5034388008763897	0.0903513192460772	11.65222587391694
functional_target	3.503112634186552	0.433690073068088	5.64596479574892
